paper_id,title,journal,year,doi,catalyst_type,catalyst_name,pollutant_category,pollutant_name,oxidant,mechanism_category,identified_species,dominant_species,removal_efficiency_pct,reaction_time_min,rate_constant,rate_constant_unit,reusability_cycles,key_active_sites,is_photo_assisted,is_electrochemical
Biochar-supported-MnS-nanocrystals-as-peroxymonosulfa_2025_Journal-of-Enviro,Biochar-supported MnS nanocrystals as peroxymonosulfate activator to remove levofloxacin in water: Dominated by electron-transfer regime,Journal of Environmental Chemical Engineering,2025,10.1016/j.jece.2025.116075,Biochar,MnS/BC700-1,Antibiotic,levofloxacin,PMS,Non-radical,1O2,,92.1,90,,min-1,3,MnS nanocrystals; hydroxyl groups on biochar,False,False
Bioreduction-assisted-synthesis-of-Co-nanoclusters-_2025_Journal-of-Environm,Bioreduction-assisted synthesis of Co nanoclusters for selective singlet oxygen generation in ciprofloxacin degradation,Journal of Environmental Chemical Engineering,2025,10.1016/j.jece.2025.117952,MOF-derived,Co@NC-800-MW,Antibiotic,ciprofloxacin,PMS,Non-radical,1O2; SO4•−,1O2,95.1,30,0.20951,min-1,,zero-valent cobalt nanoclusters,False,False
Boric-acid-modified-sulfurized-zero-valent-iron-enhanced-pe_2025_Separation-,"Boric acid-modified sulfurized zero-valent iron enhanced peroxymonosulfate activation for sulfadiazine removal: Performance, role of sulfidation and boronation, and major reactive oxygen species",,2025,10.1016/j.seppur.2025.135152,Other,Boric acid-modified sulfurized zero-valent iron,Antibiotic,sulfadiazine,PMS,Both,SO4•−; •OH; 1O2; Fe(IV),SO4•−,99.9,10,0.787,min-1,3,Fe(II)-S; B-O; Fe-B-O coordination,False,False
Breaking-planar-confinement--Tailoring-the-curvature_2026_Applied-Catalysis-,Breaking planar confinement: Tailoring the curvature of nanoconfined catalysts to activate PMS for efficient 1 O2 generation,Applied Catalysis B: Environmental,2025,10.1016/j.apcatb.2025.126266,SAC,PCN-FeSA1,Antibiotic,ciprofloxacin,PMS,Non-radical,1O2; O2•−,1O2,100,10,0.455,min-1,5,Fe–N4,False,False
Breaking-through-the-oxygen-hindrance-effect-in-Fenton-l_2025_Applied-Cataly,Breaking through the oxygen hindrance effect in Fenton-like reactions to promote the generation of high-valent iron-oxo species within Fe-NxB/GCN single-atom catalysts,Applied Catalysis B: Environmental,2025,10.1016/j.apcatb.2025.125280,SAC,Fe-NxB/GCN,Pharmaceutical,sulfamethoxazole,PMS,Non-radical,O2•−; 1O2; Fe(IV)=O,Fe(IV)=O,100,50,0.225,L mg-1 min-1,5,Fe-N4; B-doped sites,False,False
Building-the-bimetallic-site-of-Co2Mo3O8-Co9S8-heterojunction_2025_Chemical-,Building the bimetallic site of Co2Mo3O8/Co9S8 heterojunction via interface electronic reconfiguration to enhance peroxymonosulfate activation for singlet oxygen formation,,2025,10.1016/j.cej.2025.159739,Metal oxide,Co2Mo3O8/Co9S8,Antibiotic,doxycycline,PMS,Non-radical,1O2; SO4•−; •OH; O2•−,1O2,98.3,30,0.118,min-1,8,Co(II); Mo(IV); S2-; oxygen vacancies,False,False
Chemical-synthesized-pyrite-activated-peroxymonosulfate-for_2025_Separation-,Chemical synthesized pyrite activated peroxymonosulfate for the treatment of wastewater facing the risk of antibiotic resistance transmission: Contaminants elimination and disinfection,,2025,10.1016/j.seppur.2025.133796,Metal oxide,chemical synthesized pyrite,Antibiotic,sulfadiazine,PMS,Non-radical,SO4•−; •OH; 1O2; O2•−,1O2,96.2,5,,min-1,,,False,False
Co3O4-confined-in-activated-carbon-supported-Mg-Al-LDH-for_2025_Chemical-Eng,Co3O4 confined in activated carbon-supported Mg/Al-LDH for µM peroxymonosulfate activation with minute-level antibiotics degradation,,2025,10.1016/j.cej.2025.163872,MOF-derived,5Co3O4@LDH-AC,Antibiotic,levofloxacin,PMS,Non-radical,SO4•−; •OH; O2•−; 1O2,1O2,95.0,4,0.908,min-1,7,Co2+; Co3+; oxygen-containing functional groups,False,False
Cobalt-boride-derived-from-metal-organic-framework-as-_2025_Journal-of-Envir,Cobalt boride derived from metal-organic framework as highly efficient catalyst for tetracycline degradation with peroxymonosulfate activation,Journal of Environmental Chemical Engineering,2025,10.1016/j.jece.2025.117580,MOF-derived,CoxB/NC-450,Antibiotic,tetracycline hydrochloride,PMS,Both,SO4•−; •OH; 1O2; O2•−,1O2,96,30,0.21,min-1,5,Co-B; pyrrole-N; graphite-N; C-N,False,False
Cobalt-loaded-biochar-composites-as-effective-sonocataly_2025_Journal-of-Wat,Cobalt-loaded biochar composites as effective sonocatalysts for degradation of tetracycline in water under activation of peroxymonosulfate,,2025,10.1016/j.jwpe.2025.108302,Biochar,N-BC@Co3O4,Antibiotic,tetracycline,PMS,Non-radical,SO4•−; •OH; O2•−; 1O2,1O2,98.2,60,0.0548,min-1,4,"Co2+/Co3+; N moieties (graphitic N, pyridinic N, pyrrolic N); ketonic C=O groups",False,False
Confinement-of-controllable-oxygen-vacancy-Fe3O4-in-S-dope_2025_Applied-Cata,Confinement of controllable oxygen vacancy Fe3O4 in S-doped mesoporous carbon for efficient nonradical peroxymonosulfate activation: Nonradical pathway transition steered by oxygen vacancy in confined space,,2025,10.1016/j.apcatb.2025.125597,Metal oxide,Fe3O4@SMC,Phenolic compound,bisphenol A,PMS,Non-radical,1O2; e-,e-,100,9,0.629,min-1,10,oxygen vacancies (Ov); Fe3O4 confined in S-doped mesoporous carbon,False,False
Constructing-low-temperature-resistant-advanced-oxidation-p_2025_Applied-Cat,Constructing low-temperature-resistant advanced oxidation process by hollow porous carbon-supported single-atom Fe catalyst for efficient cold-water decontamination: Combined kinetic and thermodynamic optimization,Applied Catalysis B: Environmental,2025,10.1016/j.apcatb.2025.125330,SAC,HCFe-800,Phenolic compound,bisphenol A,PMS,Non-radical,1O2,1O2,99.44,8,23.74,min-1,5,FeN4,False,False
Construction-of-active-sites-within-hematite-via-S-and_2025_Journal-of-Envir,Construction of active sites within hematite via S and Cu co-doping for boosting peroxymonosulfate activation toward ciprofloxacin degradation,,2025,10.1016/j.jece.2025.117301,Metal oxide,S and Cu co-doped hematite nanoplates,Antibiotic,ciprofloxacin,PMS,Non-radical,O2•−; 1O2,O2•−,99.79,60,30.97,min-1,5,oxygen vacancies; Fe0; Fe(II); Cu+,False,False
Construction-of-highly-dispersive-Fe-MOFs-induced-Fe-dop_2025_Journal-of-Env,Construction of highly dispersive Fe-MOFs-induced Fe doped C3N5 photocatalyst for simultaneous efficient photocatalytic degradation of co-existing multiple antibiotics in water,,2025,10.1016/j.jece.2025.116152,MOF-derived,Fe-M101-C3N5(15 %),Antibiotic,chlortetracycline,PMS,Non-radical,1O2; h+; O2•−,,96,120,0.01326,min-1,4,Fe3+/Fe2+ redox couple; Fe-N coordination sites,True,False
Continuous-flow-organic-pollutants-degradation-via-peri_2025_Journal-of-Wate,Continuous-flow organic pollutants degradation via periodate activation with a self-assembled MnOx-based catalytic membrane reactor,,2025,10.1016/j.jwpe.2025.107323,Metal oxide,MnOx nanowires,Antibiotic,sulfamethoxazole,PI,Non-radical,1O2; IO3•,1O2,100,0.5,,min-1,,oxygen vacancies; Mn(III),False,False
Crystal-structure-and-oxygen-vacancy-engineering-of-cobalt-al_2025_Chemical-,Crystal structure and oxygen vacancy engineering of cobalt-aluminate spinel enhances peroxymonosulfate activation and high-valent cobalt-oxo species formation for wastewater purification,,2025,10.1016/j.cej.2025.167441,Metal oxide,Co/CoAl2O4,Antibiotic,tetracycline,PMS,Non-radical,SO4•−; •OH; O2•−; 1O2; Co(IV)=O,Co(IV)=O,96.4,30,0.2248,min-1,10,metallic Co; oxygen vacancies; Co2+/Co3+ redox pairs,False,False
Deep-learning-Guided-optimization-of-cobalt-catalysts-f_2025_Environmental-R,Deep learning-Guided optimization of cobalt catalysts for antibiotic degradation,,2025,10.1016/j.envres.2025.122811,SAC,Co-CuO,Antibiotic,ciprofloxacin,PMS,Non-radical,1O2,1O2,97.49,10,,min-1,,,False,False
Defect-rich-carbon-nanofiber-membranes-as-metal-free-catalys_2025_Chemical-E,Defect-rich carbon nanofiber membranes as metal-free catalysts for flow-through peroxymonosulfate activation: toward efficient antibiotic removal and water remediation,Chemical Engineering Journal,2025,10.1016/j.cej.2025.166704,Carbon-based,SL-PAN derived carbon nanofiber membrane (SLCNM-900),Antibiotic,ciprofloxacin hydrochloride,PMS,Non-radical,1O2; SO4•−; •OH; O2•−,1O2,100,35,0.202,min-1,7,structural defects; C=O groups; pyridinic-N; graphitic-N,False,False
Degradation-of-metronidazole-by-activating-peroxymonosulfat_2025_Journal-of-,Degradation of metronidazole by activating peroxymonosulfate using Z-scheme heterojunction photocatalysts of Co3O4/NiCo2O4 double shell nanocages under visible light,Journal of Alloys and Compounds,2025,10.1016/j.jallcom.2025.182879,MOF-derived,Co3O4/NiCo2O4 double shell nanocages,Antibiotic,metronidazole,PMS,Non-radical,SO4•−; •OH; 1O2; O2•−; e-,1O2,99.9,20,0.234,min-1,5,Co2+/Co3+; Ni2+/Ni3+; oxygen vacancies,True,False
Degradation-of-sulfamethoxazole-by-peroxymonosulfate-cataly_2025_Journal-of-,Degradation of sulfamethoxazole by peroxymonosulfate catalytically activated with MnSiOx/Fe@C catalyst: synergistic mechanism and toxicity analysis,,2025,10.1016/j.jhazmat.2025.138741,MOF-derived,MnSiOx/Fe@C,Antibiotic,sulfamethoxazole,PMS,Non-radical,1O2; •OH; SO4•−,1O2,100,60,0.0583,min-1,4,Fe0; Mn(II/III/IV); Fe(II/III); carbon matrix,False,False
Degradation-of-sulfamethoxazole-using-peroxymonosulfate-act_2025_Chemical-En,Degradation of sulfamethoxazole using peroxymonosulfate activated by nitrogen-doped biochar: Insights into the active sites and activation mechanism,,2025,10.1016/j.cej.2025.161020,Biochar,nitrogen-doped biochar,Antibiotic,sulfamethoxazole,PMS,Non-radical,SO4•−; •OH; O2•−; 1O2,1O2,100,60,0.078,min-1,3,defects; C=O; pyridinic N,False,False
Dual-synergistic-Z-scheme-0D-2D-h-BN-Fe-O--heterostructure-f_2025_Journal-of,Dual-synergistic Z-scheme 0D/2D h-BN/Fe₂O₃ heterostructure for ultrafast visible-light-driven tetracycline degradation: Interfacial charge engineering and scalable antibiotic remediation,,2025,10.1016/j.jallcom.2025.182475,Other,10% h-BN/Fe₂O₃,Antibiotic,tetracycline,PMS,Radical,•OH; O2•−; h+,h+,93.94,30,0.0287,min-1,4,,True,False
Efficient-degradation-of-tetracycline-via-N-doped-carbon-der_2025_Chemical-E,Efficient degradation of tetracycline via N-doped carbon derived from discarded PET plastics by boosting peroxymonosulfate activation and singlet oxygen generation,,2025,10.1016/j.cej.2025.160653,Carbon-based,NPC-500,Antibiotic,tetracycline,PMS,Non-radical,SO4•−; •OH; O2•−; 1O2,1O2,90,120,0.00958,min-1,5,graphitic N; pyridinic N,False,False
Efficient-elimination-of-sulfamethoxazole-by-UV-peroxymonosu_2025_Chemical-E,Efficient elimination of sulfamethoxazole by UV/peroxymonosulfate/sulfite process: Activation of peroxymonosulfate by sulfite via nucleophilic addition,,2025,10.1016/j.cej.2025.161492,Other,sulfite,Antibiotic,sulfamethoxazole,PMS,Radical,SO4•−; •OH; 1O2; SO5•−,SO5•−,52.7,13,0.0244,min-1,,,True,False
Electro-activation-of-peroxymonosulfate-by-novel-Co3O4-sludge-_2025_Environm,Electro-activation of peroxymonosulfate by novel Co3O4/sludge biochar cathode for sulfamethoxazole removal: cobalt-mediated synergistic effect and mechanism,,2025,10.1016/j.envres.2025.121742,Biochar,Co3O4/sludge biochar,Pharmaceutical,sulfamethoxazole,PMS,Both,SO4•−; •OH; 1O2,1O2,96.8,60,0.087,min-1,5,Co(II)/Co(III); C=O; graphitic-N,False,True
Electronic-cooperativity-in-MOF-confined-single-atom-all_2026_Applied-Cataly,Electronic cooperativity in MOF-confined single-atom alloys: A DFT-guided strategy for dual-functional catalysis towards simultaneous VOCs oxidation and CO resistance,,2025,10.1016/j.apcatb.2025.125943,SAC,Au-Pt SAAs/UiO-66,Other,toluene,,,,,90,,,min-1,8,Ptδ− -Auδ+,False,False
Energy-efficient-wastewater-treatment-using-enhanced-Fe_2025_Applied-Catalys,Energy-efficient wastewater treatment using enhanced Fenton-like electroactive ceramic membrane with atomic-level engineered cobalt on Magnéli phase supports,,2025,10.1016/j.apcatb.2025.125484,SAC,Co-TO/CM,Antibiotic,sulfamethoxazole,PMS,Both,•OH; SO4•−; 1O2,•OH and 1O2,100,,34.07,min-1,30,Co single atoms,False,True
Enhanced-PMS-activation-via-dual-redox-cycles-in-Fe2O_2025_Journal-of-Water-,Enhanced PMS activation via dual redox cycles in Fe2O3/VO2 bimetallic catalyst for efficient degradation of SCP,,2025,10.1016/j.jwpe.2025.108602,Metal oxide,Fe2O3/VO2,Antibiotic,sulfachloropyridazine,PMS,Both,SO4•−; •OH; 1O2; O2•−,1O2,100,10,0.834,min-1,,Fe2+/Fe3+; V4+/V5+; Fe-O-V interface,False,False
Enhanced-activation-of-PMS-via-Fe-MOFs-derives-BC-for-ef_2025_Journal-of-Wat,Enhanced activation of PMS via Fe-MOFs-derives@BC for efficient removal of dyes: Complementary between radical and nonradical pathways,,2025,10.1016/j.jwpe.2025.108426,MOF-derived,Fe-MOFs-derives@BC,Dye,Rhodamine B,PMS,Both,SO4•−; •OH; 1O2,,100,15,,min-1,,Fe(II)/Fe(III) redox centers; conductive carbon matrix; oxygen vacancies,False,False
Enhanced-degradation-of-oxytetracycline-hydrochloride-in-n_2025_Journal-of-W,Enhanced degradation of oxytetracycline hydrochloride in neutral heterogeneous electro-Fenton system: Key role of lignin modified Fe-MOFs derived catalyst as cathode,,2025,10.1016/j.jwpe.2025.107381,MOF-derived,FeNPs/CS1.5,Antibiotic,oxytetracycline hydrochloride,H2O2,Both,•OH; O2•−; SO4•−; 1O2,,99.2,90,0.0495,min-1,5,Fe0; Fe2+; Fe3+; Fe3C; Fe–S,False,True
Enhanced-ofloxacin-degradation-by-three-dimensional-ele_2025_Journal-of-Envi,Enhanced ofloxacin degradation by three-dimensional electrochemical activation of peroxymonosulfate using nano ZVC doped reed straw biochar particle electrode,Journal of Environmental Chemical Engineering,2025,10.1016/j.jece.2025.119512,Biochar,nano zero-valent copper doped reed straw biochar,Antibiotic,ofloxacin,PMS,Both,SO4•−; •OH; 1O2,•OH and 1O2,90.5,20,0.019,min-1,5,Cu0; Cu+; Cu2+,False,True
Enhanced-peroxymonosulfate-activated-antibiotic-deg_2025_Journal-of-Environm,Enhanced peroxymonosulfate-activated antibiotic degradation via mechanochemically synthesized cobalt-doped MIL-53(Al),,2025,10.1016/j.jece.2025.115356,MOF-derived,cobalt-doped MIL-53(Al),Antibiotic,tetracycline hydrochloride,PMS,Radical,SO4•−; O2•−; 1O2,,96.1,30,0.0566,min-1,4,Co(II/III); Al metal nodes,False,False
Enhanced-peroxymonosulfate-activation-by-Co-Mn-and-P-mo_2025_Journal-of-Envi,"Enhanced peroxymonosulfate activation by Co/Mn and P modified carbon nitride for ciprofloxacin degradation: Performance, mechanism and toxicity assessment",,2025,10.1016/j.jece.2025.116604,Carbon-based,Co/Mn-PNC,Antibiotic,ciprofloxacin,PMS,Both,SO4•−; O2•−; 1O2; •OH,SO4•−,81.87,6,0.3887,min-1,4,Co0; Co2+; Co3+; Mn2+; Mn3+; C–O groups; lattice oxygen,False,False
Enhanced-peroxymonosulfate-activation-by-V2O5-g-C3N4-het_2025_Separation-and,Enhanced peroxymonosulfate activation by V2O5/g-C3N4 heterojunction for rapid degradation of chloramphenicol: Role of the built-in electric field,,2025,10.1016/j.seppur.2025.131506,Heterojunction,V2O5/g-C3N4,Antibiotic,chloramphenicol,PMS,Both,SO4•−; •OH; 1O2; O2•−,,100,5,1.13,min-1,5,V(III)/V(IV)/V(V) redox couples; built-in electric field at V2O5/g-C3N4 interface,False,False
Enhancement-of-manganese-sand-activation-for-PMS-degrad_2025_Journal-of-Wate,Enhancement of manganese sand activation for PMS degradation of levofloxacin using Co₃O₄ quantum dots: Mechanism and application,,2025,10.1016/j.jwpe.2025.107101,Metal oxide,Co3O4 quantum dots‑manganese sand composite,Antibiotic,levofloxacin,PMS,Non-radical,SO4•−; •OH; 1O2; O2•−,1O2,99,60,0.1316,min-1,5,Co3+/Co2+; Fe3+/Fe2+; Mn3+/Mn2+,False,False
Enhancing-Fenton-like-reactions-in-organic-wastewater-tre_2025_Applied-Catal,Enhancing Fenton-like reactions in organic wastewater treatment via dual activation pathway by tuning the local electronic structure of Fe d-orbital in single-atom catalysts,,2025,10.1016/j.apcatb.2025.125585,SAC,FeN2+2,Antibiotic,sulfamethoxazole,PAA,Radical,1O2; O2•−; •OH,1O2,85.9,3,1.668,min-1,7,FeN2+2,False,False
Environmentally-friendly-3D-spherical-catalysts-deriv_2025_Separation-and-Pu,Environmentally-friendly 3D spherical catalysts derived from chitosan and oat for activation peroxymonosulfate,,2025,10.1016/j.seppur.2025.132317,Carbon-based,CS@2Oat-Nu,Antibiotic,tetracycline,PMS,Both,SO4•−; •OH; O2•−; 1O2,O2•− and 1O2,92.89,90,0.029,min-1,5,pyridine N; graphite N; C=O; C-N,False,False
Fabrication-of-a-highly-efficient-and-stable-peroxymono_2025_Journal-of-Envi,Fabrication of a highly efficient and stable peroxymonosulfate activator via a new sequential adsorption-encapsulation strategy induced by metal-organic framework,Journal of Environmental Chemical Engineering,2025,10.1016/j.jece.2025.115495,MOF-derived,Co-in-Fe-MOF-500,Antibiotic,tetracycline,PMS,Both,SO4•−; O2•−; 1O2,1O2,99,30,,min-1,5,CoFe2O4; oxygen vacancies,False,False
Fabrication-of-self-assembled-MOF-based-interfacial-catal_2025_Journal-of-En,"Fabrication of self-assembled MOF-based interfacial catalysts with N/S synergistic electron optimization for degradation of emerging pollutants: Performance, mechanism, and toxicity assessment",,2025,10.1016/j.jece.2025.120359,MOF-derived,PRC@MoS2/ZIF-67,Antibiotic,oxytetracycline,PMS,Non-radical,SO4•−; •OH; O2•−; 1O2,1O2,100,20,0.3225,min-1,20,Co-Mo interfacial Lewis acid sites; sulfur vacancies,False,False
Fe-MOFs-derived-Fe3O4-doped-biochar-from-waste-chopsticks--a-_2025_Environme,Fe-MOFs-derived Fe3O4-doped biochar from waste chopsticks: a novel catalyst for tetrabromobisphenol a degradation via peroxymonosulfate activation,Environmental Research,2025,10.1016/j.envres.2025.121620,MOF-derived,Fe3O4@BC,Other,tetrabromobisphenol A,PMS,Both,SO4•−; •OH; 1O2; O2•−,O2•−,98,30,0.55,min-1,5,"Fe2+/Fe3+ redox couple; oxygen-containing functional groups (C=O, C–O); graphitic carbon defects; π-electrons in sp2-hybridized carbon",False,False
Fe-induced-d-orbital-electron-redistribution-tailoring-pero_2025_Chemical-En,Fe-induced d-orbital electron redistribution tailoring peroxymonosulfate activation pathway for efficient degradation of various antibiotics,,2025,10.1016/j.cej.2025.166924,MOF-derived,NiFe-LDH-25,Antibiotic,ofloxacin,PMS,Non-radical,SO4•−; •OH; O2•−; 1O2; Fe(IV)=O,Fe(IV)=O,98,10,,min-1,4,Fe sites; Ni-O-Fe motifs,False,False
Ferroelectric-Bi2Fe4O9-for-efficient-peroxymonosulfat_2025_Separation-and-Pu,Ferroelectric Bi2Fe4O9 for efficient peroxymonosulfate activation: The overlooked role of spontaneous polarization,Separation and Purification Technology,2025,10.1016/j.seppur.2025.133787,Metal oxide,Bi2Fe4O9,Pharmaceutical,Metronidazole,PMS,Radical,•OH; SO4•−,,100,8,0.7629,min-1,5,Bi2O2 layer; FeO6 layer,False,False
Fine-tune-the-electronic-structure-of-single-atom-_2025_Applied-Catalysis-B-,Fine-tune the electronic structure of single-atom Pd via halogen doping toward boosted Fenton-like reaction,Applied Catalysis B: Environmental,2025,10.1016/j.apcatb.2025.125218,SAC,Pd-F/SCNT,Phenolic compound,bisphenol A,PMS,Both,•OH; SO4•−; 1O2; H*,•OH,100,0.033,1.15,min-1,,Pd single atoms; F coordination sites,False,True
Fluorine-induced-spin-state-tuning-in-Co3O4-enhanc_2025_Applied-Catalysis-B-,Fluorine-induced spin-state tuning in Co3O4 enhances nonradical peroxymonosulfate activation efficiency,,2025,10.1016/j.apcatb.2025.125574,Metal oxide,F-Co3O4,Antibiotic,sulfamethoxazole,PMS,Non-radical,,PMS*,100,20,0.346,min-1,10,Co sites with high spin state; F-doped Co3O4 surface,False,False
Gram-scale-fabrication-of-high-loading-main-group-calciu_2026_Applied-Cataly,Gram-scale fabrication of high-loading main-group calcium single-atom catalyst enabling efficient low-concentration Fenton-like chemistry via interfacial redox synergy,Applied Catalysis B: Environmental,2025,10.1016/j.apcatb.2025.126044,SAC,Ca-O-C,Dye,acid orange 7,PMS,Non-radical,1O2; O2•−,1O2,99.1,30,0.16,min-1,5,Ca–O4 coordination; Lewis acidic Ca sites,False,False
HKUST-1-Cu--derived-ZnCuOx-C-with-rich-oxygen-vacanc_2025_Colloids-and-Surfa,"HKUST-1(Cu)-derived ZnCuOx@C with rich oxygen vacancies as an efficient peroxymonosulfate activator for bisphenol a degradation: Eco-friendly, catalytic activity and mechanism",,2025,10.1016/j.colsurfa.2025.137478,MOF-derived,ZnCuOx@C,Phenolic compound,bisphenol A,PMS,Non-radical,SO4•−; •OH; 1O2; O2•−,1O2,100,30,0.15,min-1,3,oxygen vacancies (OV); Cu(I)/Cu(II) redox couple; C-O-C; C=O,False,False
Hetero-structured-high-entropy-oxides-for-efficient-o_2025_Separation-and-Pu,Hetero-structured high entropy oxides for efficient organic pollutant degradation via peroxymonosulfate activation,,2025,10.1016/j.seppur.2025.132233,Metal oxide,"(Fe, Co, Ni, Cu)3O4/CuO",Dye,rhodamine B,PMS,Radical,SO4•−; •OH; 1O2,1O2,94.0,5,0.52679,min-1,10,Co; Ni; Cu; Fe,False,False
High-utilization-of-peroxymonosulfate-and-mineralization-o_2025_Chemical-Eng,High utilization of peroxymonosulfate and mineralization of antibiotics through ZnCoOx-immobilized carbon sponge filter column,,2025,10.1016/j.cej.2025.164359,MOF-derived,ZnCo2O4@CMF,Antibiotic,sulfamethoxazole,PMS,Non-radical,1O2; •OH; SO4•−,1O2,100,5,0.5056,min-1,5,oxygen vacancies (Ov); Graphitic N; Co2+/Co3+ redox couple; C=O groups,False,False
Highly-dispersed-Co-N-anchored-on-waste-derived-biochar-fo_2025_Separation-a,Highly dispersed Co-N anchored on waste-derived biochar for enhanced peroxymonosulfate activation toward ciprofloxacin degradation: Non-radical processes-dominated oxidation mechanism,,2025,10.1016/j.seppur.2025.133847,Biochar,4%Co3N1-PFSBC-800,Antibiotic,ciprofloxacin,PMS,Non-radical,SO4•−; •OH; 1O2; O2•−; Co(IV),1O2,99.05,60,0.1129,min-1,4,Co-Nx; graphitic N; pyridinic N; defect sites,False,False
