id,title,authors,year,journal,doi
P023,Activation of peroxymonosulfate by Cu-doped iron oxychloride biochar for the degradation of tetracycline and disinfection of its resistant bacteria,,2024,,10.1016/j.jwpe.2024.106318
P024,"Activation of peroxymonosulfate by N, S co-doped magnetic FeCoS for the degradation of ciprofloxacin hydrochloride: Catalytic performance and mechanism",,2023,,10.1016/j.jece.2023.110362
P025,Activation of peroxymonosulfate by a waste red mud-supported Co3O4 quantum dots under visible light for the degradation of levofloxacin,,2022,,10.1016/j.cej.2022.139382
P026,Activation of peroxymonosulfate by biochar in-situ enriched with cobalt tungstate and cobalt: Insights into the role of rich oxygen vacancies and catalytic mechanism,,2023,,10.1016/j.cej.2023.146124
P027,Activation of peroxymonosulfate by food waste digestate derived biochar for sulfamethoxazole degradation: Performance and mechanism,,2023,,10.1016/j.seppur.2023.124935
P028,Activation of peroxymonosulfate by sewage sludge-derived biochar to promote short-chain fatty acid production during sludge anaerobic fermentation,,2023,Chemical Engineering Journal,10.1016/j.cej.2023.148041
P029,Activation of peroxymonosulfate for ciprofloxacin degradation by a novel oxygen-deficient CoTiO3/TiO2NTs/Ti composite catalytic membrane: Electron transfer pathway and underlying mechanism,,2023,,10.1016/j.seppur.2023.125511
P030,Activation of peroxymonosulfate for enhanced antibiotic removal using OVs-Co3O4/Fe2O3: Synergistic modulation of heterostructure and oxygen vacancy,,2025,Journal of Hazardous Materials,10.1016/j.jhazmat.2025.139416
P031,Activation of peroxymonosulfate using heterogeneous Fe-doped carbon-based catalyst to generate singlet oxygen for the degradation of sulfamethoxazole,,2024,,10.1016/j.seppur.2024.126905
P032,Activation of peroxymonosulfate via mediated electron transfer mechanism on single-atom Fe catalyst for effective organic pollutants removal,,2021,Applied Catalysis B: Environmental,10.1016/j.apcatb.2021.120714
P033,Activation of sulfite with cationic vacancy-enriched Co3O4 for highly efficient tetracycline abatement,,2025,,10.1016/j.jwpe.2025.109074
P034,Adsorption behavior and mechanism of tetracycline on microplastics subjected to peroxymonosulfate and alkaline aging,,2024,,10.1016/j.seppur.2024.128956
P035,Adsorptive interaction of peroxymonosulfate with graphene and catalytic assessment via non-radical pathway for the removal of aqueous pharmaceuticals,,2020,Journal of Hazardous Materials,10.1016/j.jhazmat.2019.121340
P036,Ag3PO4/n-SiMPs photoanode-peroxymonosulfate coupled system for efficient tetracycline degradation performance,,2024,Separation and Purification Technology,10.1016/j.seppur.2024.130516
P037,Almost 100% electron transfer regime over Fe-Co dual-atom catalyst toward pollutants removal: Regulation of peroxymonosulfate adsorption mode,,2023,Applied Catalysis B: Environmental,10.1016/j.apcatb.2023.123178
P038,An efficient multi-path to active peroxymonosulfate by carbon and sulfur co-doped boron nitride for antibiotics degradation: An emerging electron-transfer pathway at activated-S sites,,2024,,10.1016/j.seppur.2024.128089
P039,"An efficient peroxymonosulfate activator derived from metal-organic frameworks: The application of Cu, Mg co-doping strategy",,2024,,10.1016/j.jece.2024.114369
P040,An electron transfer tuning strategy for the eficient degradation of tetracycline hydrochloride by Fe-N co-doped carbon materials activated with peroxymonosulfate,,2023,,10.1016/j.jece.2023.111576
P041,Anchored Co-oxo generated by cobalt single atoms outperformed aqueous species from the counterparts in peroxymonosulfate treatment,,2023,Applied Catalysis B: Environmental,10.1016/j.apcatb.2023.122483
P042,Anchoring atomically dispersed FeN5 sites on porous and defect-rich biochar via cascade regulation strategy for eficient Fenton-like catalysis,,2023,,10.1016/j.apcatb.2023.123570
P043,Anchoring highly dispersed FeCo/C nanoparticles within zeolite 13X to promote 1 O2 generation in the degradation of tetracycline hydrochloride,,2024,,10.1016/j.jece.2024.113854
P044,Anchoring single atom cobalt on two-dimensional MXene for activation of peroxymonosulfate,,2022,,
P045,Application of an effective catalyst derived from N-doped bimetallic metal-organic frameworks in boosting performance of peroxymonosulfate-based Fenton-like reaction,,2025,,10.1016/j.jwpe.2025.107803
P046,Aqueous-phase room-temperature synthesis of 2D CuCo-BDC for superior peroxymonosulfate activation,,2025,Journal of Hazardous Materials,10.1016/j.jhazmat.2025.138840
P047,Architecture-engineered Fe₃O₄-MnO₂ composite for peroxydisulfate activation: Visible light-enhanced redox cycling mechanism,,2025,,10.1016/j.jwpe.2025.108963
P048,Architecture engineering of Fe/Fe2O3@MoS2 enables highly efficient tetracycline remediation via peroxymonosulfate activation: Critical roles of adsorption capacity and redox cycle regulation,,2024,,10.1016/j.jenvman.2024.120210
P049,Assembly of MOF derived composite catalyst on the PVDF membrane matrix for high-efficient phenol removal,,2023,,10.1016/j.jwpe.2023.104635
P050,Asymmetrically oxygen-vacancy-enriched CuO/Co3O4− x composite for enhanced peroxymonosulfate activation: Mechanistic insights into radical-nonradical synergy for tetracycline degradation,,2025,Journal of Alloys and Compounds,10.1016/j.jallcom.2025.185074
P051,Atomically dispersed Co-Mn dual sites anchored in photoresponsive carbon nitride mediated peroxymonosulfate activation for elimination of petroleum hydrocarbon in water,,2023,Applied Catalysis B: Environmental,10.1016/j.apcatb.2023.123581
P052,Atomically dispersed Fe/Bi dual active sites single-atom nanozymes for cascade catalysis and peroxymonosulfate activation to degrade dyes,,2021,Journal of Hazardous Materials,10.1016/j.jhazmat.2021.126929
P053,Atomically dispersed Fe-N5 sites with optimized electronic structure for sustainable wastewater purification via efficient Fenton-like catalysis,,2024,,10.1016/j.apcatb.2024.124385
P054,Axial pyridine coordination-induced Co d-orbital rearrangement boosts peroxymonosulfate activation for singlet oxygen evolution in water remediation,,2025,Applied Catalysis B: Environmental,10.1016/j.apcatb.2025.125873
P055,"B,N-decorated carbocatalyst based on Fe-MOF/BN as an efficient peroxymonosulfate activator for bisphenol A degradation",,2022,Journal of Hazardous Materials,10.1016/j.jhazmat.2021.127832
P056,Bimetallic Fe/Mn MOFs derivatives loaded on biochar for activated peroxydisulfate in degradation of sulfamethoxazole: Fe-Mn bonding promotes non-radical pathway transitions,,2025,,10.1016/j.jhazmat.2025.140196
P057,Bimetallic FeCo nanoparticles embedded N-rich porous ZIF-derived carbon as highly active heterogeneous Fenton catalyst for degradation of tetracycline and organic dyes,,2024,,10.1016/j.jece.2024.112414
P058,Bimetallic zeolitic imidazolate framework-derived nitrogen-doped porous carbon-coated CoFe2O4 core–shell composite with high catalytic performance for peroxymonosulfate activation in Rhodamine B degradation,,2022,Elsevier B.V.,
P059,Bio-porphyrin supported single-atom iron catalyst boosting peroxymonosulfate activation for pollutants degradation: A Singlet Oxygen-dominated nonradical pathway,,2023,Applied Catalysis B: Environmental,10.1016/j.apcatb.2023.123061
P060,Biochar-supported MnS nanocrystals as peroxymonosulfate activator to remove levofloxacin in water: Dominated by electron-transfer regime,,2025,Journal of Environmental Chemical Engineering,10.1016/j.jece.2025.116075
P061,Biochar supported magnetic ZIF-67 derivatives activated peroxymonosulfate for the degradation of ciprofloxacin: Radical and nonradical pathways,,2022,,10.1016/j.colsurfa.2022.130559
P062,Bioinspired axial S-coordinated single-atom cobalt catalyst to efficient activate peroxymonosulfate for selective high-valent Co-Oxo species generation,,2024,,10.1016/j.jhazmat.2024.134515
P063,Bioreduction-assisted synthesis of Co nanoclusters for selective singlet oxygen generation in ciprofloxacin degradation,,2025,Journal of Environmental Chemical Engineering,10.1016/j.jece.2025.117952
P064,Boosting charge separation and active sites exposure by hollow S-scheme MoSe2/Fe2O3 heterojunction for enhanced photocatalytic peroxymonosulfate activation towards ciprofloxacin removal,,2024,,10.1016/j.cej.2024.156981
P065,Boosting peracetic acid activation with Cu single-atom catalysts for sulfamethoxazole abatement: A nonradical pathway and ‘double engine' driving mechanism,,2024,Applied Catalysis B: Environmental,10.1016/j.apcatb.2024.123897
P066,"Boosting peroxymonosulfate activation over partial Zn-substituted Co3O4 for florfenicol degradation: Insights into catalytic performance, degradation mechanism and routes",,2024,,10.1016/j.cej.2024.152197
P067,"Boric acid-modified sulfurized zero-valent iron enhanced peroxymonosulfate activation for sulfadiazine removal: Performance, role of sulfidation and boronation, and major reactive oxygen species",,2025,,10.1016/j.seppur.2025.135152
P068,Breaking planar confinement: Tailoring the curvature of nanoconfined catalysts to activate PMS for efficient 1 O2 generation,,2025,Applied Catalysis B: Environmental,10.1016/j.apcatb.2025.126266
P069,Breaking scaling relation of single-atom site via energy storage-release effect from adjacent carbon vacancy for low-temperature-resistant Fenton-like catalysis,,2024,,10.1016/j.apcatb.2024.124409
P070,Breaking through the oxygen hindrance effect in Fenton-like reactions to promote the generation of high-valent iron-oxo species within Fe-NxB/GCN single-atom catalysts,,2025,Applied Catalysis B: Environmental,10.1016/j.apcatb.2025.125280
P071,Building the bimetallic site of Co2Mo3O8/Co9S8 heterojunction via interface electronic reconfiguration to enhance peroxymonosulfate activation for singlet oxygen formation,,2025,,10.1016/j.cej.2025.159739
P072,CNTs with nano-confined TiO2 and surface loading Co3O4: The analysis of its performance and mechanism of PMS activation for ECs degradation under visible light,,2024,,10.1016/j.seppur.2024.127840
P073,Carbon-based single atom catalyst engineered to mediate non-radical pathway for antibiotics degradation under multiple complex water matrices by peroxymonosulfate activation,,2024,Separation and Purification Technology,10.1016/j.seppur.2024.131140
P074,Carbon cloth in situ loaded with ZIF-67 derived Co3O4 for peroxymonosulfate activation: An integrated synthesis-catalysis reactor,,2024,Applied Surface Science,10.1016/j.apsusc.2024.162074
P075,Carbon-doped Co3O4-MgO catalyzed peroxymonosulfate activation via an enhanced Co(III)/Co(II) cycle for rapid chloramphenicol degradation,,2023,,10.1016/j.cej.2023.142115
P076,Carbon ink modified α-MnO2 as a peroxymonosulfate activator for enhanced degradation of organic pollutants via a direct electron transfer process,,2022,,10.1016/j.colsurfa.2022.130772
P077,Carbon nitride with a tailored electronic structure toward peroxymonosulfate activation: A direct electron transfer mechanism for organic pollutant degradation,,2023,Applied Catalysis B: Environmental,10.1016/j.apcatb.2023.123314
P078,Catalytic PMS oxidation universality of CuFe2O4/MnO2 heterojunctions at multiple application scenarios,,2023,,10.1016/j.envres.2023.117828
P079,Catalytic activity and reaction mechanisms of single-atom metals anchored on nitrogen-doped carbons for peroxymonosulfate activation,,2023,,10.1016/j.jhazmat.2023.132133
P080,Catalytic ozonation of ciprofloxacin using MnO2/biochar nanohybrid integrated with peroxymonosulfate in a circulating fluidized bed reactor,,2024,,
P081,Chemical synthesized pyrite activated peroxymonosulfate for the treatment of wastewater facing the risk of antibiotic resistance transmission: Contaminants elimination and disinfection,,2025,,10.1016/j.seppur.2025.133796
P082,Co@C core-shell nanostructures anchored on carbon cloth for activation of peroxymonosulfate to degrade tetracycline,,2022,,10.1016/j.jece.2022.109197
P083,Co-Fe synergistic interaction mediated novel peroxymonosulfate activators: High-efficiently degradation and outstanding mineralization,,2024,,10.1016/j.cej.2024.151452
P084,Co/N co-doped carbonized wood sponge with 3D porous framework for efficient peroxymonosulfate activation: Performance and internal mechanism,,2021,,10.1016/j.jhazmat.2021.126735
P085,"Co,Zn-MOF derived Co@C-NCNTs for boosting non-radical oxidation of norfloxacin by peroxymonosulfate",,2022,,10.1016/j.colsurfa.2022.129037
P086,C03O4/C-PC composite derived from pomelo peel-loaded ZIF-67 for activating peroxymonosulfate (PMS) to degrade ciprofloxacin,,2022,,10.1016/j.jwpe.2022.103043
P087,Co3O4-MnO2 nanoparticles moored on biochar as a catalyst for activation of peroxymonosulfate to efficiently degrade sulfonamide antibiotics,,2021,,10.1016/j.seppur.2021.119935
P088,Co3O4 confined in activated carbon-supported Mg/Al-LDH for µM peroxymonosulfate activation with minute-level antibiotics degradation,,2025,,10.1016/j.cej.2025.163872
P089,Co3O4 electronic-structure tuning via Se doping for peroxymonosulfate activation: Synergy of reactive-oxygen species generation and adsorption-desorption strength,,2023,Separation and Purification Technology,10.1016/j.seppur.2023.124933
P090,Co3O4 nanosheets modified by Ni@C nanoparticles as effective flow-through electrode for electro-activation of PMS: Ni@C as electron shuttle for accelerated Co3+/Co2+ cycle in bulk Co3O4,,2023,,10.1016/j.cej.2023.145084
P091,Co3O4 with upshifted d-band center and enlarged specific surface area by single-atom Zr doping for enhanced PMS activation,,2023,Journal of Hazardous Materials,10.1016/j.jhazmat.2023.130987
P092,Cobalt atom sites anchored on sulfhydryl decorated UiO-66 to activate peroxymonosulfate for norfloxacin degradation,,2022,,10.1016/j.jece.2022.108972
P093,Cobalt boride derived from metal-organic framework as highly efficient catalyst for tetracycline degradation with peroxymonosulfate activation,,2025,Journal of Environmental Chemical Engineering,10.1016/j.jece.2025.117580
P094,Cobalt/iron bimetallic oxide coated with graphitized nitrogen-doped carbon (Fe2O3-CoO@NC) derived from cobalt/iron solid complex as peroxymonosulfate (PMS) activator for efficient bensulfuron-methyl degradation,,2024,Environmental Research,10.1016/j.envres.2024.120249
P095,Cobalt leaching inhibition: Transforming coordination polymers into spherical Co3O4@NC catalysts for accelerated tetracycline degradation via enhanced PMS activation,,2023,Applied Surface Science,10.1016/j.apsusc.2023.158980
P096,Cobalt-loaded biochar composites as effective sonocatalysts for degradation of tetracycline in water under activation of peroxymonosulfate,,2025,,10.1016/j.jwpe.2025.108302
P097,Composite catalyst regenerated from spent Cu-Bi-spinel adsorbent and its Fenton-like photocatalysis mechanism for efficient removal of sulfamethoxazole,,2024,,10.1016/j.jece.2024.113299
P098,Confinement of ZIF-derived copper-cobalt-zinc oxides in carbon framework for degradation of organic pollutants,,2022,Journal of Hazardous Materials,10.1016/j.jhazmat.2022.129811
P099,Confinement of controllable oxygen vacancy Fe3O4 in S-doped mesoporous carbon for efficient nonradical peroxymonosulfate activation: Nonradical pathway transition steered by oxygen vacancy in confined space,,2025,,10.1016/j.apcatb.2025.125597
P100,Constructing electron-rich metal sites in M0.5Co0.5O through N substitution for efficient peroxymonosulfate activation to degrade organic pollutants,,2024,Journal of Cleaner Production,10.1016/j.jclepro.2024.144497
P101,Constructing low-temperature-resistant advanced oxidation process by hollow porous carbon-supported single-atom Fe catalyst for efficient cold-water decontamination: Combined kinetic and thermodynamic optimization,,2025,Applied Catalysis B: Environmental,10.1016/j.apcatb.2025.125330
P102,Constructing surface micro-electric fields on hollow single-atom cobalt catalyst for ultrafast and anti-interference advanced oxidation,,2021,Applied Catalysis B: Environmental,10.1016/j.apcatb.2021.121057
P103,Construction of CoFe2O4/Fe2O3 S-type heterojunctions on biochar for activating peroxymonosulfate towards simultaneous removal of TC and Cr (VI),,2024,,10.1016/j.seppur.2024.129157
P104,Construction of CuBi2O4/MnO2 composite as Z-scheme photoactivator of peroxymonosulfate for degradation of antibiotics,,2020,,10.1016/j.cej.2020.124011
P105,Construction of a gelatin aerogel catalyst functionalized with LaCoO3 and g-C3N5 for efficient ciprofloxacin degradation via adsorption and peroxymonosulfate activation,,2024,,10.1016/j.cej.2024.153106
P106,Construction of active sites within hematite via S and Cu co-doping for boosting peroxymonosulfate activation toward ciprofloxacin degradation,,2025,,10.1016/j.jece.2025.117301
P107,Construction of biochar supported single cobalt atom catalysts from coffee grounds on peroxymonosulfate activation for sulfamethoxazole degradation,,2024,,10.1016/j.cej.2024.158889
P108,Construction of dual active sites on diatomic metal (FeCo-N/C-x) catalysts for enhanced Fenton-like catalysis,,2022,Applied Catalysis B: Environmental,10.1016/j.apcatb.2022.121256
P109,Construction of highly dispersive Fe-MOFs-induced Fe doped C3N5 photocatalyst for simultaneous efficient photocatalytic degradation of co-existing multiple antibiotics in water,,2025,,10.1016/j.jece.2025.116152
P110,Continuous-flow organic pollutants degradation via periodate activation with a self-assembled MnOx-based catalytic membrane reactor,,2025,,10.1016/j.jwpe.2025.107323
P111,Copper-doped ZIF-67/wood aerogel for effective peroxymonosulfate activation,,2024,,10.1016/j.jece.2024.112612
P112,Copper substituted zinc ferrite with abundant oxygen vacancies for enhanced ciprofloxacin degradation via peroxymonosulfate activation,,2020,Journal of Hazardous Materials,10.1016/j.jhazmat.2019.121998
P113,Coupling ultrafine plasmonic Co3O4 with thin-layer carbon over SiO2 nanosphere for dual-functional PMS activation and solar interfacial water evaporation,,2023,Journal of Alloys and Compounds,10.1016/j.jallcom.2023.168816
P114,"Critical impact of pyrolysis temperatures on biochars for peroxymonosulfate activation: Structural characteristics, degradation performance and mechanism",,2023,,10.1016/j.cej.2023.147274
P115,Crystal structure and oxygen vacancy engineering of cobalt-aluminate spinel enhances peroxymonosulfate activation and high-valent cobalt-oxo species formation for wastewater purification,,2025,,10.1016/j.cej.2025.167441
P116,Cu-doped CoOOH activates peroxymonosulfate to generate high-valent cobalt-oxo species to degrade organic pollutants in saline environments,,2023,Applied Catalysis B: Environmental,10.1016/j.apcatb.2023.123224
P117,"Cu doped Fe2O3 growing a nickel foam for sulfadiazine degradation in peroxymonosulfate asssting photo-electrochemical system: Performance, mechanism and degradation pathway",,2023,,10.1016/j.cej.2023.143013
P118,CuO nanosheets incorporated scrap steel slag coupled with persulfate catalysts for high-efficient degradation of sulfonamide from water,,2022,Environmental Research,10.1016/j.envres.2022.114614
P119,Decomposition of tetracycline with peroxymonosulfate activated by an ordered hierarchical pores Fe-N/C catalyst rich in FeNx sites: Insights into singlet oxygen mechanism,,2024,,10.1016/j.seppur.2024.129489
P120,Deep learning-Guided optimization of cobalt catalysts for antibiotic degradation,,2025,,10.1016/j.envres.2025.122811
P121,Defect-rich carbon nanofiber membranes as metal-free catalysts for flow-through peroxymonosulfate activation: toward efficient antibiotic removal and water remediation,,2025,Chemical Engineering Journal,10.1016/j.cej.2025.166704
P122,Degradation of Orange II by Fe2O3 and CeO2 nanocomposite when assisted by NaHSO3,,2022,,
P123,Degradation of metronidazole by activating peroxymonosulfate using Z-scheme heterojunction photocatalysts of Co3O4/NiCo2O4 double shell nanocages under visible light,,2025,Journal of Alloys and Compounds,10.1016/j.jallcom.2025.182879
P124,Degradation of sulfamethoxazole by peroxymonosulfate catalytically activated with MnSiOx/Fe@C catalyst: synergistic mechanism and toxicity analysis,,2025,,10.1016/j.jhazmat.2025.138741
P125,Degradation of sulfamethoxazole using peroxymonosulfate activated by nitrogen-doped biochar: Insights into the active sites and activation mechanism,,2025,,10.1016/j.cej.2025.161020
P126,Design and synthesis of α-Fe2O3/MIL-53(Fe) composite as a photo-Fenton catalyst for efficient degradation of tetracycline hydrochloride,,2022,,10.1016/j.colsurfa.2022.130822
P127,Developing carbon nitride with tailored defect structure for exceptional nonradical activation of peroxymonosulfate,,2024,Applied Catalysis B: Environmental,10.1016/j.apcatb.2024.124341
P128,Dielectric barrier discharge plasma in-situ microbubble aeration with peroxymonosulfate for levofloxacin degradation: Microbubble superior performance and pH-dependent mechanism,,2024,Separation and Purification Technology,10.1016/j.seppur.2024.129626
P129,Directional electron transfer in single-atom cobalt nanozyme for enhanced photo-Fenton-like reaction,,2023,Applied Catalysis B: Environmental,10.1016/j.apcatb.2023.122882
P130,Do Fe2O3/TiO2 heterojunctions improve the wastewater disinfection process?,,2024,Journal of Environmental Management,10.1016/j.jenvman.2024.123773
P131,Doping phosphorus into Co3O4: A new promising pathway to boost the catalytic activity for peroxymonosulfate activation,,2022,Applied Surface Science,10.1016/j.apsusc.2021.151632
P132,Dual activation of peroxymonosulfate with FeS2@Co3O4-C catalyst and visible light for the efficient degradation of tetracycline,,2024,,10.1016/j.jallcom.2024.175474
P133,Dual-synergistic Z-scheme 0D/2D h-BN/Fe₂O₃ heterostructure for ultrafast visible-light-driven tetracycline degradation: Interfacial charge engineering and scalable antibiotic remediation,,2025,,10.1016/j.jallcom.2025.182475
P134,Efficacy and mechanism of activation peroxymonosulfate for tetracycline degradation by AC-MIL-101(Fe)-derived magnetic CuO/Fe2O3/CuFe2O4,,2024,,10.1016/j.colsurfa.2024.134867
P135,Efficient activation of peroxymonosulfate by Fe single-atom: The key role of Fe-pyrrolic nitrogen coordination in generating singlet oxygen and high-valent Fe species,,2023,Journal of Hazardous Materials,10.1016/j.jhazmat.2023.132753
P136,Efficient cobalt-based metal-organic framework derived magnetic Co@C-6oo Nanoreactor for peroxymonosulfate activation and oxytetracycline degradation,,2022,,10.1016/j.colsurfa.2022.129234
P137,Efficient degradation of levofloxacin using peroxymonosulfate activated by a novel magnetic catalyst derived from waste walnut shell biomass,,2024,,10.1016/j.colsurfa.2024.134668
P138,Efficient degradation of rhodamine B by MoS2 modified Co-MOF derived nitrogen-doped carbon activated peroxymonosulfate,,2023,,
P139,Efficient degradation of sulfadiazine using magnetically recoverable MnFe2O4/δ-MnO2 hybrid as a heterogeneous catalyst of peroxymonosulfate,,2022,Colloid and Surface A: Physicochemical and Engineering Aspects,
P140,Efficient degradation of tetracycline via N-doped carbon derived from discarded PET plastics by boosting peroxymonosulfate activation and singlet oxygen generation,,2025,,10.1016/j.cej.2025.160653
P141,Efficient elimination of sulfamethoxazole by UV/peroxymonosulfate/sulfite process: Activation of peroxymonosulfate by sulfite via nucleophilic addition,,2025,,10.1016/j.cej.2025.161492
P142,Efficient emerging contaminants (EM) decomposition via peroxymonosulfate (PMS) activation by Co3O4/carbonized polyaniline (CPANI) composite: Characterization of tetracycline (TC) degradation property and application for the remediation of EM-polluted water body,,2023,,10.1016/j.jclepro.2023.137023
P143,Efficient ofloxacin degradation via peroxymonosulfate activation using an S-scheme MoS2/Co3O4 heterojunction composite under visible light: Performance and mechanistic insights,,2024,,10.1016/j.envres.2024.119891
P144,"Efficient peroxymonosulfate activation by iron-cobalt bimetallic biochar for rapid removal of antibiotic resistant bacteria, antibiotic resistance genes, and ampicillin: The coexisting of free-radical and non-radical pathways",,2024,,10.1016/j.seppur.2024.127025
P145,Efficient peroxymonosulfate activation by nanoscale zerovalent iron for removal of sulfadiazine and sulfadiazine resistance bacteria: Sulfidated modification or not,,2024,,10.1016/j.jhazmat.2024.133869
P146,Efficient photocatalytic removal of orange I by a Mn3O4-FeS2/Fe2O3 heterogeneous catalyst,,2019,,10.1016/j.jenvman.2019.109695
P147,Efficient removal of antibiotic-resistant bacteria and intracellular antibiotic resistance genes by heterogeneous activation of peroxymonosulfate on hierarchical macro-mesoporous Co3O4-SiO2 with enhanced photogenerated charges,,2021,Journal of Hazardous Materials,10.1016/j.jhazmat.2021.127414
P148,Efficient removal of organic pollutants by a Co/N/S-doped yolk-shell carbon catalyst via peroxymonosulfate activation,,2021,Journal of Hazardous Materials,10.1016/j.jhazmat.2021.126726
P149,Efficient removal of plasticiser dibutyl phthalate on CoP cluster anchored MXene via boosting peroxymonosulfate activation: Catalytic performance and decomposition mechanism,,2024,Applied Catalysis B: Environmental,10.1016/j.apcatb.2024.124433
P150,Efficient removal of size-fractionated antibiotic resistance genes (ARGs) in WWTPs secondary effluent by vacuum ultraviolet (VUV) activated potassium peroxymonosulfate (PMS),,2024,,10.1016/j.cej.2024.150779
P151,Efficient removal of tetrabromobisphenol A through persulfate activation by α-MnO2 nanofiber coated with graphene oxide,,2023,,10.1016/j.apsusc.2023.158445
P152,Electro-activation of peroxymonosulfate by novel Co3O4/sludge biochar cathode for sulfamethoxazole removal: cobalt-mediated synergistic effect and mechanism,,2025,,10.1016/j.envres.2025.121742
P153,Electro-activation of peroxymonosulfate using a carbon fiber membrane anode for high-efficient degradation of antibiotic wastewater: The dominant role of singlet oxygen,,2024,,10.1016/j.cej.2024.150239
P154,Electrochemical activation of peroxymonosulfate at Ti/La2O3-PbO2 anode to enhance the degradation of typical antibiotic wastewater,,2022,Separation and Purification Technology,10.1016/j.seppur.2022.121164
P155,Electrochemical oxidation of ammonia in a granular activated carbon/ peroxymonosulfate/chlorine three-dimensional electrode system,,2024,,10.1016/j.seppur.2024.127038
P156,Electron transfer mechanism mediated MOF-derived nanoflowers catalyst for promoting peroxymonosulfate activation and ciprofloxacin degradation,,2024,,10.1016/j.jece.2024.114239
P157,Electronic cooperativity in MOF-confined single-atom alloys: A DFT-guided strategy for dual-functional catalysis towards simultaneous VOCs oxidation and CO resistance,,2025,,10.1016/j.apcatb.2025.125943
